id,country,lat,lon,elev,SOC_pct,A_control,B_gain,C_base,ceiling,k_perkgN,citation
Uga_Bul_Maiz_2011_N,Uganda,1.5,31.484,1020,28,5.317,2.965,0.989,8.282,0.011060947359424948,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Bul_Maiz_2011_N,Uganda,1.5,31.484,1020,28,4.727,2.734,0.952,7.461,0.04919024419077178,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Nge_Maiz_2011_N,Uganda,2.313011,32.928775,1080,16,2.003,1.142,0.91,3.145,0.09431067947124129,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Nge_Maiz_2011_N,Uganda,2.313011,32.928775,1080,16,3,1.241,0.971,4.241,0.029428810690812168,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Tor_Maiz_2011_N,Uganda,0.75,34.235,1210,14,1.918,0.79,0.963,2.708,0.03770186718401153,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Tor_Maiz_2011_N,Uganda,0.75,34.235,1210,14,1.707,0.913,0.978,2.62,0.022245608947319737,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Zam_Mt._Maiz_1996-97_N,Zambia,-15.55,28.25,1330,-9,3,0.75,0.97,3.75,0.030459207484708574,"Moses Mwale, l.K. Phiri, Norman M. Manyowa, K. Munyinda and "
Zam_Mt._Maiz_1996-97_N,Zambia,-15.55,28.25,1330,-9,2.6,1.6,0.97,4.2,0.030459207484708574,"Moses Mwale, l.K. Phiri, Norman M. Manyowa, K. Munyinda and "
Zim_Agr_Maiz_1990-91_N,Zimbabwe,-19.833,30.8,1270,-9,1.29,1.058,0.991,2.348,0.00904074465214907,Grain legumes and Green Manures for Soil Fertility in Southe
Zim_Agr_Maiz_1990-91_N,Zimbabwe,-19.833,30.8,1270,-9,0.74,0.48,0.95,1.22,0.05129329438755058,Grain legumes and Green Manures for Soil Fertility in Southe
Ken_OlN_Maiz_1989_N,Kenya,-0.304,36.275,1970,-9,9.13,2.6,0.87,11.73,0.13926206733350766,FURP
Ken_OlN_Maiz_1989_N,Kenya,-0.304,36.275,1970,-9,7.49,3.29,0.87,10.780000000000001,0.13926206733350766,FURP
Ken_Ota_Maiz_1988_N,Kenya,-0.72,34.762,1790,-9,7.3,0,0.0001,7.3,9.210340371976182,FURP
Rwa_Moy_Maiz_??_N,Rwanda,-2.0448,30.479,1425,-9,2.32,0.559,0.968,2.879,0.03252319170556006,Scalgia et al. FAO
Rwa_Moy_Maiz_??_N,Rwanda,-1.826,30.595,1550,-9,2.32,0.559,0.968,2.879,0.03252319170556006,Scalgia et al. FAO
Rwa_Ter_Maiz_??_N,Rwanda,-1.522,29.568,2130,-9,3.032,0.634,0.966,3.666,0.03459144476961909,Scalgia et al. FAO
Rwa_Imp_Maiz_??_N,Rwanda,-2.41,29.1,1690,-9,1.929,0.36,0.937,2.289,0.0650719967437148,Scalgia et al. FAO
Rwa_BAS_Maiz_??_N,Rwanda,-2.44,29.55,1886,-9,2.928,1.111,0.982,4.039,0.01816397062767118,Scalgia et al. FAO
Rwa_BAS_Maiz_??_N,Rwanda,-2.536,29.597,1870,-9,2.928,1.111,0.982,4.039,0.01816397062767118,Scalgia et al. FAO
Rwa_Pla_Maiz_??_N,Rwanda,-1.6,29.79,1800,-9,1.584,0.325,0.963,1.909,0.03770186718401153,Scalgia et al. FAO
Ken_Ota_Maiz_1991_N,Kenya,-0.72,34.762,1790,-9,3.9,1.55,0.965,5.45,0.03562717764315116,FURP
Ken_Kit_Maiz_1991_N,Kenya,0.991,35.125,1890,-9,7,1,0.9,8.0,0.10536051565782628,FURP
Ken_Mau_Maiz_1991_N,Kenya,-0.18,35.62,2530,-9,2.1,0,0.0001,2.1,9.210340371976182,FURP
Tan_Sel_Maiz_2014_N,Tanzania,-3.3597,36.6311,1400,-9,6.405,3.355,0.984,9.76,0.016129381929883644,"Wortmann, C., C. Senkoro, A.R. Cyamweshi, C. Kibunja, D. Nko"
Zam_Cho_Maiz_2014_N,Zambia,-17.148871,27.420373,565,-9,4.005,2.93,0.995,6.9350000000000005,0.005012541823544286,"Wortmann, C., C. Senkoro, A.R. Cyamweshi, C. Kibunja, D. Nko"
Mal_Mwa_Maiz_1994-95_N,Malawi,-15.6,34.5,260,-9,2.986,1.399,0.979,4.385,0.021223636451626688,Benson data base
Mal_Chi_Maiz_1994-95_N,Malawi,-15.66,34.95,690,-9,3.15,1.282,0.984,4.432,0.016129381929883644,Benson data base
Mal_Nor_Maiz_1994-95_N,Malawi,-11.33,33.93,1300,-9,2.921,1.518,0.982,4.439,0.01816397062767118,Benson data base
Mal_Mak_Maiz_1996_N,Malawi,-17.02,35.21,250,-9,4.388,3.378,0.944,7.766,0.057629112836636416,"Mafongoya et al, 2004.  IN: Soil fertility management in Afr"
Ken_Che_Maiz_2000_N,Kenya,0.583333,35.3,2100,-9,2.158,0.341,0.6,2.499,0.5108256237659907,"Okalebo, J.R., Palm, C.A., Lekasi, J.K., Nandwa, S.M., Othie"
Eth_Bak_Maiz_1989-96_N,Ethiopia,9.13,37.83,1650,-9,5.6,1.5,0.97,7.1,0.030459207484708574,"Tolessa Debele,: N,P fertilizer trail on Gutto and BH-140 ma"
Eth_Chi_Maiz_2008-10_N,Ethiopia,9.08,40.86,1780,-9,6.267,3.769,0.976,10.036000000000001,0.024292692569044587,Zelalem Bekeko. 2014. Effect of enriched farmyard manure and
Eth_Ach_Maiz_2013_N,Ethiopia,11.341,36.93898,2020,26,6.79,3.45,0.7,10.24,0.35667494393873245,Alemayehu unpubl
Gha_Eju_Maiz_2008_N,Ghana,7.367,-1.32,110,-9,5.248,3.926,0.984,9.174,0.016129381929883644,"Fosu-Mensah, B.Y., D.S. MacCarthy, P.L.G. Vlek, E.Y. Safo. 2"
Gha_Eju_Maiz_2008_N,Ghana,7.367,-1.32,110,-9,4.762,3.455,0.976,8.216999999999999,0.024292692569044587,"Fosu-Mensah, B.Y., D.S. MacCarthy, P.L.G. Vlek, E.Y. Safo. 2"
Ken_Nya_Maiz_2001-02_N,Kenya,0.58,35.31,2150,-9,4.656,0,0.0001,4.656,9.210340371976182,"Kihara J., Kimetu J.M., Vanlauwe B., Bationo ., Waswa B. and"
Ken_Ema_Maiz_2003-06_N,Kenya,-2.07,37.47,1160,-9,1.052,0,0.0001,1.052,9.210340371976182,"J.M. Miriti, A.O. Esilaba, A. Bationo, H.K. Cheruiyot, A.N. "
Ken_Ema_Maiz_2003-06_N,Kenya,-2.07,37.47,1160,-9,2.528,0.847,0.991,3.375,0.00904074465214907,"J.M. Miriti, A.O. Esilaba, A. Bationo, H.K. Cheruiyot, A.N. "
Ken_Mau_Maiz_1990_N,Kenya,-0.0843,36.651,2530,-9,5,0,0.0001,5.0,9.210340371976182,FURP
Ken_Mau_Maiz_1991_N,Kenya,-0.0843,36.651,2530,-9,3.3,0,0.0001,3.3,9.210340371976182,FURP
Ken_Che_Maiz_1990_N,Kenya,-0.655,35.17,1840,-9,7.5,0.6,0.84,8.1,0.1743533871447778,FURP
Ken_Che_Maiz_1991_N,Kenya,-0.655,35.17,1840,-9,6.7,0,0.0001,6.7,9.210340371976182,FURP
