soc_level,region,year,yield_tha,soc_total,n_mineralized
SOC_50pct,south_asia,8,2.9366,25.21,77.67
SOC_50pct,south_asia,9,2.9343,25.18,77.43
SOC_50pct,south_asia,10,2.9321,25.15,77.23
SOC_50pct,south_asia,11,2.9302,25.12,77.06
SOC_50pct,south_asia,12,2.9284,25.09,76.91
SOC_50pct,south_asia,13,2.9267,25.06,76.78
SOC_50pct,south_asia,14,2.9251,25.04,76.65
SOC_50pct,south_asia,15,2.9236,25.01,76.54
SOC_50pct,south_asia,16,2.9221,24.99,76.44
SOC_50pct,south_asia,17,2.9207,24.97,76.34
SOC_50pct,south_asia,18,2.9194,24.94,76.24
SOC_50pct,south_asia,19,2.9181,24.92,76.15
SOC_50pct,south_asia,20,2.9168,24.90,76.07
SOC_50pct,south_asia,21,2.9156,24.88,75.98
SOC_50pct,south_asia,22,2.9144,24.86,75.90
SOC_50pct,south_asia,23,2.9133,24.84,75.82
SOC_50pct,south_asia,24,2.9122,24.82,75.75
SOC_50pct,south_asia,25,2.9111,24.80,75.68
SOC_50pct,south_asia,26,2.9101,24.79,75.61
SOC_50pct,south_asia,27,2.9091,24.77,75.54
SOC_50pct,south_asia,28,2.9081,24.75,75.47
SOC_50pct,south_asia,29,2.9071,24.73,75.41
SOC_50pct,south_asia,30,2.9062,24.72,75.34
SOC_50pct,southeast_asia,0,4.3060,32.82,130.35
SOC_50pct,southeast_asia,1,4.0897,32.77,130.35
SOC_50pct,southeast_asia,2,4.0713,32.72,128.92
SOC_50pct,southeast_asia,3,4.0631,32.69,127.81
SOC_50pct,southeast_asia,4,4.0569,32.65,126.99
SOC_50pct,southeast_asia,5,4.0520,32.62,126.37
SOC_50pct,southeast_asia,6,4.0480,32.59,125.89
SOC_50pct,southeast_asia,7,4.0447,32.56,125.52
SOC_50pct,southeast_asia,8,4.0419,32.54,125.22
SOC_50pct,southeast_asia,9,4.0394,32.51,124.98
SOC_50pct,southeast_asia,10,4.0371,32.49,124.78
SOC_50pct,southeast_asia,11,4.0351,32.47,124.60
SOC_50pct,southeast_asia,12,4.0332,32.44,124.45
SOC_50pct,southeast_asia,13,4.0315,32.42,124.31
SOC_50pct,southeast_asia,14,4.0298,32.40,124.18
SOC_50pct,southeast_asia,15,4.0282,32.38,124.06
SOC_50pct,southeast_asia,16,4.0267,32.36,123.95
SOC_50pct,southeast_asia,17,4.0253,32.34,123.85
SOC_50pct,southeast_asia,18,4.0239,32.32,123.75
SOC_50pct,southeast_asia,19,4.0225,32.31,123.65
SOC_50pct,southeast_asia,20,4.0212,32.29,123.56
SOC_50pct,southeast_asia,21,4.0199,32.27,123.47
SOC_50pct,southeast_asia,22,4.0187,32.25,123.39
SOC_50pct,southeast_asia,23,4.0175,32.24,123.30
SOC_50pct,southeast_asia,24,4.0163,32.22,123.22
SOC_50pct,southeast_asia,25,4.0152,32.21,123.15
SOC_50pct,southeast_asia,26,4.0141,32.19,123.07
SOC_50pct,southeast_asia,27,4.0130,32.18,123.00
SOC_50pct,southeast_asia,28,4.0120,32.16,122.93
SOC_50pct,southeast_asia,29,4.0110,32.15,122.86
SOC_50pct,southeast_asia,30,4.0100,32.14,122.79
SOC_50pct,latin_america,0,4.7140,46.59,134.48
SOC_50pct,latin_america,1,4.6519,46.57,134.48
SOC_50pct,latin_america,2,4.6329,46.55,134.09
SOC_50pct,latin_america,3,4.6289,46.53,133.71
