region,year,price_reported,price_econ_consistent,err_pp
southeast_asia,7,1.0615634438155355,1.0709167464595997,-0.9353302644064199
southeast_asia,8,1.0623092732876158,1.0713783734151052,-0.9069100127489405
southeast_asia,9,1.0629006754566381,1.0717529050508279,-0.8852229594189742
southeast_asia,10,1.063380229764213,1.072063902635114,-0.8683672870900994
southeast_asia,11,1.0637781661103434,1.0723280810986784,-0.8549914988335017
southeast_asia,12,1.064115948881612,1.0725573132742101,-0.8441364392598016
southeast_asia,13,1.0644088338851712,1.0727600505983335,-0.8351216713162302
southeast_asia,14,1.0646676852576595,1.0729423280963604,-0.827464283870083
southeast_asia,15,1.064900262976547,1.0731084742817203,-0.8208211305173352
southeast_asia,16,1.0651121334992033,1.0732616121295413,-0.8149478630337992
southeast_asia,17,1.065307313013657,1.0734040123892696,-0.8096699375612637
southeast_asia,18,1.065488721422329,1.0735373426652308,-0.8048621242901843
southeast_asia,19,1.0656585025738594,1.0736628429845498,-0.8004340410690425
southeast_asia,20,1.065818250081972,1.0737814495490974,-0.7963199467125426
southeast_asia,21,1.0659691665526756,1.0738938819793666,-0.7924715426691042
southeast_asia,22,1.0661121758683998,1.0740007048426095,-0.7888528974209663
southeast_asia,23,1.0662480023922811,1.0741023710700615,-0.7854368677780332
southeast_asia,24,1.0663772268671896,1.0741992526200215,-0.7822025752831863
southeast_asia,25,1.0665003258979688,1.074291662159085,-0.7791336261116166
southeast_asia,26,1.0666176998697525,1.0743798684175663,-0.7762168547813753
southeast_asia,27,1.0667296927203351,1.074464107088939,-0.7734414368603781
southeast_asia,28,1.0668366059735466,1.0745445885896008,-0.770798261605421
southeast_asia,29,1.0669387087284268,1.0746215036055229,-0.7682794877096111
southeast_asia,30,1.0670362447974604,1.0746950270780131,-0.7658782280552723
latin_america,1,1.0367430396134487,1.032660297129003,0.4082742484445623
latin_america,2,1.0329625024347024,1.0436436275194232,-1.0681125084720744
latin_america,3,1.0350371764869968,1.0454860083723128,-1.044883188531598
