scenario,region,year,cap_binding,y_realized_pct,y_demand_pct,y_supply_pct,solver_residual_pp,realized_minus_econ_pp,elasticity_lag_pp,price_index_reported,price_index_on_realized,price_index_error_pp,eta,clearing_residual
SC1_20pct,east_asia,14,1,-1.070487892202554,-1.4806603200411383,-1.4806603200411383,0.0,0.4101724278385843,0.000663814032482446,1.0337051588364066,1.0242051650203956,0.9499993816010965,-0.45,0.0
SC1_20pct,east_asia,15,1,-1.0708409315626333,-1.481149196444187,-1.481149196444187,0.0,0.4103082648815537,0.0006045243441957227,1.0337165577962835,1.024213287230223,0.9503270566060484,-0.45,0.0
SC1_20pct,east_asia,16,1,-1.0711757555074364,-1.4815959891526176,-1.4815959891526176,0.0,0.4104202336451812,0.0005588426595981577,1.0337269756647973,1.024220990452886,0.9505985211911261,-0.45,0.0
SC1_20pct,east_asia,17,1,-1.071495164938241,-1.4820101496279436,-1.4820101496279436,0.0,0.4105149846897027,0.0005225486602936091,1.0337366327832844,1.0242283391154292,0.9508293667855217,-0.45,0.0
SC1_20pct,east_asia,18,1,-1.0718011633248148,-1.4823982089249177,-1.4823982089249177,0.0,0.4105970456001029,0.000492787651312776,1.033745681410564,1.0242353793013725,0.9510302109191571,-0.45,0.0
SC1_20pct,east_asia,19,1,-1.0720952120016003,-1.4827647221959395,-1.4827647221959395,0.0,0.41066951019433917,0.0004676265282069214,1.0337542277408118,1.0242421446232886,0.9512083117523273,-0.45,0.0
SC1_20pct,east_asia,20,1,-1.0723784025588157,-1.4831129061430692,-1.4831129061430692,0.0,0.41073450358425356,0.00044575418378794973,1.0337623467640888,1.024248660188381,0.9513686575707947,-0.45,0.0
SC1_20pct,east_asia,21,1,-1.0726515732917274,-1.4834450692804535,-1.4834450692804535,0.0,0.41079349598872605,0.000426279375570493,1.0337700922970812,1.0242549452772485,0.9515147019832693,-0.45,0.0
SC1_20pct,east_asia,22,1,-1.0729153879018516,-1.4837629023986443,-1.4837629023986443,0.0,0.4108475144967927,0.00040859435093409946,1.0337775037548695,1.0242610151543252,0.9516488600544326,-0.45,0.0
SC1_20pct,east_asia,23,1,-1.0731703887261745,-1.4840676747039372,-1.4840676747039372,0.0,0.41089728597776265,0.00039228283681413956,1.0337846107237332,1.0242668822923715,0.9517728431361672,-0.45,0.0
SC1_20pct,east_asia,24,1,-1.0734170327773795,-1.484360366314641,-1.484360366314641,0.0,0.4109433335372614,0.0003770579600076429,1.0337914360502234,1.0242725572015527,0.9518878848670642,-0.45,0.0
SC1_20pct,east_asia,25,1,-1.073655716182076,-1.4846417578150972,-1.4846417578150972,0.0,0.4109860416330213,0.0003627203597533768,1.0337979979290866,1.024278048991621,0.951994893746555,-0.45,0.0
SC1_20pct,east_asia,26,1,-1.0738867907886585,-1.48491249083339,-1.48491249083339,0.0,0.4110257000447315,0.00034912992250418773,1.033804311315626,1.024283365753964,0.9520945561661831,-0.45,0.0
SC1_20pct,east_asia,27,1,-1.0741105754873415,-1.4851731090653408,-1.4851731090653408,0.0,0.4110625335779994,0.0003361867069534563,1.033810388882174,1.0242885148220096,0.9521874060164359,-0.45,0.0
SC1_20pct,east_asia,28,1,-1.0743273639593265,-1.4854240861015278,-1.4854240861015278,0.0,0.4110967221422013,0.000323818068469206,1.033816241666877,1.0242935029494808,0.9522738717396173,-0.45,0.0
SC1_20pct,east_asia,29,1,-1.07453743001239,-1.4856658443460513,-1.4856658443460513,0.0,0.4111284143336613,0.00031196996659599296,1.0338218795147815,1.0242983364331286,0.952354308165293,-0.45,0.0
