panel_c_class,rank_in_class,iso3,fao_name,region,cropland_Mha,buffer_proxy_t_ha,exposure_combined,n_intensity_raw,import_reliance,reexport_flag
low_buffer_high_exposure,9,TKM,Turkmenistan,Central Asia,1.653806066666667,5.306456260295281,0.4237118464770147,254.2271078862088,0.0,False
low_buffer_high_exposure,10,BWA,Botswana,Sub-Saharan Africa,0.26186666666666664,2.648024892814998,0.5769751357773252,46.18508146639512,1.0,False
low_buffer_high_exposure,11,SWZ,Eswatini,Sub-Saharan Africa,0.195,5.248397085394351,0.5624387464387465,37.463247863247865,1.0,False
low_buffer_high_exposure,12,CYP,Cyprus,North Africa & West Asia,0.12667123333333333,6.33752245112612,0.6053207643127954,63.19245858767724,1.0,False
data_missing,1,DZA,Algeria,North Africa & West Asia,8.495832866666667,5.848420465503982,,8.262874411692954,,False
data_missing,2,SSD,South Sudan,Sub-Saharan Africa,2.4777,,0.5000641275735113,0.0384765441067656,1.0,False
data_missing,3,SOM,Somalia,Sub-Saharan Africa,1.1275333333333333,4.231972701963488,,,,False
data_missing,4,NLD,Netherlands (Kingdom of the),Europe,1.0499466666666668,13.500428611517815,,199.9184085540853,,False
data_missing,5,NOR,Norway,Europe,0.806364,13.815620387130622,,130.21662673432843,,False
data_missing,6,TLS,Timor-Leste,East & Southeast Asia,0.19163333333333338,7.008039105443645,,,,False
data_missing,7,PSE,Palestine,North Africa & West Asia,0.1436606,,0.5917092090663689,55.02552543982136,1.0,False
data_missing,8,ISL,Iceland,Europe,0.121,,0.6539577594123049,92.37465564738292,1.0,False
data_missing,9,OMN,Oman,North Africa & West Asia,0.10939333333333331,3.3830375803702477,,87.40325431165824,,False
data_missing,10,SLB,Solomon Islands,Oceania,0.09613333333333332,11.291149988143538,0.5102750809061488,6.16504854368932,1.0,False
data_missing,11,ARE,United Arab Emirates,North Africa & West Asia,0.08731666666666667,2.77101540704464,0.210355224015936,120.96965069669784,0.0174782790428792,False
data_missing,12,MUS,Mauritius,Sub-Saharan Africa,0.079,7.470469600410743,0.6466104078762307,87.96624472573839,1.0,False
