iso3,fao_area_code,fao_name,region,cropland_ha,n_use_t,n_prod_t,n_imp_t,n_exp_t,apparent_consumption_t,net_imports_t,n_intensity_raw,n_intensity_scaled,import_reliance,exposure_combined,exposure_class,reexport_flag,data_missing_n_use,data_missing_trade,data_missing_cropland
PER,170,Peru,Latin America & Caribbean,5924622.833333333,295940.6666666667,0.0,420840.41,11413.56,409426.85,409426.85,49.950971562549825,0.16650323854183274,1.0,0.5832516192709164,moderate,False,False,False,False
PRI,177,Puerto Rico,Latin America & Caribbean,66200.0,1849.6666666666667,0.0,0.0,0.0,0.0,0.0,27.940584088620344,0.09313528029540115,,,data_missing,False,False,True,False
PRY,169,Paraguay,Latin America & Caribbean,4412520.3,132455.0,0.0,132476.66333333333,21.266666666666666,132455.39666666667,132455.39666666667,30.017992211843197,0.10005997403947732,1.0,0.5500299870197387,moderate,False,False,False,False
SLV,60,El Salvador,Latin America & Caribbean,881000.0,39959.0,0.0,61533.746666666666,6691.450000000001,54842.29666666666,54842.29666666666,45.356413166855845,0.15118804388951948,1.0,0.5755940219447597,moderate,False,False,False,False
SUR,207,Suriname,Latin America & Caribbean,66666.66666666667,8996.333333333334,0.0,9066.88,70.47666666666667,8996.403333333332,8996.403333333332,134.945,0.44981666666666664,1.0,0.7249083333333333,high,False,False,False,False
TCA,224,Turks and Caicos Islands,Latin America & Caribbean,1000.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
TTO,220,Trinidad and Tobago,Latin America & Caribbean,47000.0,1338.3333333333333,737033.6066666666,1045.3533333333335,720754.7600000001,17324.199999999837,0.0,28.475177304964536,0.09491725768321511,0.0,0.04745862884160756,low,True,False,False,False
URY,234,Uruguay,Latin America & Caribbean,2127166.6666666665,178833.66666666666,0.0,181788.54,2955.4,178833.14,178833.14,84.07129985113218,0.2802376661704406,1.0,0.6401188330852203,moderate,False,False,False,False
VCT,191,Saint Vincent and the Grenadines,Latin America & Caribbean,5000.0,140.0,0.0,235.19999999999996,0.03333333333333333,235.16666666666663,235.16666666666663,28.0,0.09333333333333334,1.0,0.5466666666666666,moderate,False,False,False,False
VEN,236,Venezuela (Bolivarian Republic of),Latin America & Caribbean,3300000.0,122331.66666666667,197133.33333333334,13964.44,74555.19666666667,136542.57666666666,0.0,37.070202020202025,0.12356734006734009,0.0,0.061783670033670045,low,False,False,False,False
VGB,239,British Virgin Islands,Latin America & Caribbean,2000.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
VIR,240,United States Virgin Islands,Latin America & Caribbean,1100.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
ARE,225,United Arab Emirates,North Africa & West Asia,87316.66666666667,10562.666666666666,933160.0,30859.64,14259.466666666667,949760.1733333333,16600.173333333332,120.96965069669783,0.4032321689889928,0.017478279042879217,0.210355224015936,low,False,False,False,False
